"","year","sex","db_bar.EDAT1899_1A7","monthly_income"
"1",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"2",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"3",2021,"HOME","DE 55 A 64 ANYS","NO CONTESTA"
"4",2021,"DONA","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"5",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"6",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"7",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"8",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"9",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"10",2021,"DONA","DE 55 A 64 ANYS","DE 1.501 A 2.000 EUROS"
"11",2021,"DONA","DE 45 A 54 ANYS","MENYS DE 500 EUROS"
"12",2021,"HOME","DE 35 A 44 ANYS","NO CONTESTA"
"13",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"14",2021,"DONA","DE 35 A 44 ANYS","MENYS DE 500 EUROS"
"15",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"16",2021,"HOME","DE 55 A 64 ANYS","DE 2.501 A 3.000 EUROS"
"17",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"18",2021,"HOME","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"19",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"20",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"21",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"22",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"23",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"24",2021,"HOME","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"25",2021,"HOME","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"26",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"27",2021,"DONA","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"28",2021,"HOME","DE 45 A 54 ANYS","DE 1.501 A 2.000 EUROS"
"29",2021,"DONA","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"30",2021,"DONA","DE 45 A 54 ANYS","DE 2.501 A 3.000 EUROS"
"31",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"32",2021,"DONA","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"33",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"34",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"35",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"36",2021,"DONA","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"37",2021,"DONA","DE 18 A 24 ANYS","NO HO SAP"
"38",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"39",2021,"DONA","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"40",2021,"HOME","DE 18 A 24 ANYS","DE 1.501 A 2.000 EUROS"
"41",2021,"HOME","DE 25 A 34 ANYS","DE 2.501 A 3.000 EUROS"
"42",2021,"DONA","DE 35 A 44 ANYS","MÉS DE 9.000 EUROS"
"43",2021,"DONA","DE 25 A 34 ANYS","DE 3.001 A 5.000 EUROS"
"44",2021,"HOME","DE 35 A 44 ANYS","DE 2.001 A 2.500 EUROS"
"45",2021,"HOME","DE 25 A 34 ANYS","DE 2.001 A 2.500 EUROS"
"46",2021,"HOME","DE 55 A 64 ANYS","DE 3.001 A 5.000 EUROS"
"47",2021,"HOME","DE 35 A 44 ANYS","DE 500 A 1.000 EUROS"
"48",2021,"HOME","DE 35 A 44 ANYS","DE 1.001 A 1.500 EUROS"
"49",2021,"HOME","DE 45 A 54 ANYS","DE 3.001 A 5.000 EUROS"
"50",2021,"DONA","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"51",2021,"HOME","DE 45 A 54 ANYS","DE 1.001 A 1.500 EUROS"
"52",2021,"HOME","DE 35 A 44 ANYS","DE 3.001 A 5.000 EUROS"
"53",2021,"DONA","DE 35 A 44 ANYS","DE 1.501 A 2.000 EUROS"
"54",2021,"HOME","DE 25 A 34 ANYS","DE 1.501 A 2.000 EUROS"
"55",2021,"HOME","DE 35 A 44 ANYS","DE 5.001 A 7.000 EUROS"
